"section","np","x_over_c","eta","z_over_c","cp","surface","source"
"3","13","0.98611","0.65","0.00251","0.227","upper","NASA Glenn ONERA M6 test 2308"
"4","12","0.94987","0.8","-0.00731","0.162","lower","NASA Glenn ONERA M6 test 2308"
"4","11","0.82223","0.8","-0.02125","-0.005","lower","NASA Glenn ONERA M6 test 2308"
"4","10","0.67216","0.8","-0.03537","-0.131","lower","NASA Glenn ONERA M6 test 2308"
"4","9","0.5723","0.8","-0.04261","-0.205","lower","NASA Glenn ONERA M6 test 2308"
"4","8","0.4722","0.8","-0.04755","-0.285","lower","NASA Glenn ONERA M6 test 2308"
"4","7","0.37235","0.8","-0.04891","-0.283","lower","NASA Glenn ONERA M6 test 2308"
"4","6","0.2723","0.8","-0.04723","-0.23","lower","NASA Glenn ONERA M6 test 2308"
"4","5","0.17242","0.8","-0.04238","-0.143","lower","NASA Glenn ONERA M6 test 2308"
"4","4","0.05017","0.8","-0.02974","-0.027","lower","NASA Glenn ONERA M6 test 2308"
"4","3","0.01999","0.8","-0.02268","0.025","lower","NASA Glenn ONERA M6 test 2308"
"4","2","0.00611","0.8","-0.01355","0.58","lower","NASA Glenn ONERA M6 test 2308"
"4","1","0","0.8","0","0.752","upper","NASA Glenn ONERA M6 test 2308"
"4","34","0.0021","0.8","0.00787","0.304","upper","NASA Glenn ONERA M6 test 2308"
"4","33","0.00893","0.8","0.01619","-0.324","upper","NASA Glenn ONERA M6 test 2308"
"4","32","0.02012","0.8","0.02276","-0.976","upper","NASA Glenn ONERA M6 test 2308"
"4","31","0.0353","0.8","0.02701","-1.206","upper","NASA Glenn ONERA M6 test 2308"
"4","30","0.06011","0.8","0.03127","-1.161","upper","NASA Glenn ONERA M6 test 2308"
"4","29","0.10019","0.8","0.03623","-1.058","upper","NASA Glenn ONERA M6 test 2308"
"4","28","0.15024","0.8","0.04078","-0.996","upper","NASA Glenn ONERA M6 test 2308"
"4","27","0.20016","0.8","0.0441","-0.954","upper","NASA Glenn ONERA M6 test 2308"
"4","26","0.25021","0.8","0.04647","-0.618","upper","NASA Glenn ONERA M6 test 2308"
"4","25","0.30021","0.8","0.04799","-0.628","upper","NASA Glenn ONERA M6 test 2308"
"4","24","0.35015","0.8","0.04879","-0.677","upper","NASA Glenn ONERA M6 test 2308"
"4","23","0.39977","0.8","0.04885","-0.303","upper","NASA Glenn ONERA M6 test 2308"
"4","22","0.45009","0.8","0.04813","-0.245","upper","NASA Glenn ONERA M6 test 2308"
"4","21","0.5002","0.8","0.04648","-0.244","upper","NASA Glenn ONERA M6 test 2308"
"4","20","0.55033","0.8","0.04393","-0.222","upper","NASA Glenn ONERA M6 test 2308"
